+---------------------------+-----------------+--------------------------------+---------------------------+----------------------------------------------------+-----------------+-----------------+
|         TIMESTAMP         |       TASK      |            FUNCTION            |            FILE           |                       MESSAGE                      |   PROCESS_TYPE  |      STATUS     |
+---------------------------+-----------------+--------------------------------+---------------------------+----------------------------------------------------+-----------------+-----------------+
| 2025-10-02 12:10:46       | IMP_DOC_QUALIS_ | connect                        | databasesrc.py            | dcConfig disponível: ['dbconnstr', 'dbschema',     | system          | information     |
|                           |                 |                                |                           | 'projectname', 'folderlog', 'logtablename',        |                 |                 |
|                           |                 |                                |                           | 'databasename', 'tabdocumentosged', 'url_inicial', |                 |                 |
|                           |                 |                                |                           | 'url_api_processo', 'database']                    |                 |                 |
| 2025-10-02 12:10:46       | IMP_DOC_QUALIS_ | connect                        | databasesrc.py            | :::Processo de Conexão Iniciado:::                 | system          | information     |
| 2025-10-02 12:10:48       | IMP_DOC_QUALIS_ | connect                        | databasesrc.py            | Conectado com sucesso ao PostgreSQL: PostgreSQL    | system          | success         |
|                           |                 |                                |                           | 17.6 on aarch64-unknown-linux-gnu, comp            |                 |                 |
| 2025-10-02 12:10:49       | IMP_DOC_QUALIS_ | verifica_arq_existe            | planilha_processar.py     | Não existe arquivo .xlsx na pasta                  | system          | critical        |
|                           |                 |                                |                           | data\input\Capturados - LN 279 em                  |                 |                 |
|                           |                 |                                |                           | planilha_processar.py                              |                 |                 |
+---------------------------+-----------------+--------------------------------+---------------------------+----------------------------------------------------+-----------------+-----------------+
| 2025-10-02 12:10:49       | IMP_DOC_QUALIS_ | Main                           | main.py                   | Planilha de Processamento não encontrada ou Vazia  | system          | critical        |
|                           |                 |                                |                           | - LN 22 em main.py                                 |                 |                 |
+---------------------------+-----------------+--------------------------------+---------------------------+----------------------------------------------------+-----------------+-----------------+
| 2025-10-02 12:10:50       | IMP_DOC_QUALIS_ | confere_conexao_do_banco       | sharepoint_acesso.py      | db_manager está conectado                          | system          | information     |
| 2025-10-02 12:10:50       | IMP_DOC_QUALIS_ | _obter_links_do_banco          | sharepoint_acesso.py      | Pesquisando pelo status: PENDENTE                  | system          | information     |
| 2025-10-02 12:10:51       | IMP_DOC_QUALIS_ | _obter_links_do_banco          | sharepoint_acesso.py      | 1 links obtidos do banco                           | system          | information     |
| 2025-10-02 12:10:51       | IMP_DOC_QUALIS_ | _inicializar_navegador         | sharepoint_acesso.py      | Abrindo o navegador                                | system          | information     |
| 2025-10-02 12:10:55       | IMP_DOC_QUALIS_ | _acessar_sharepoint            | sharepoint_acesso.py      | Acessando URL: https://fibrasacombr.sharepoint.com | system          | information     |
|                           |                 |                                |                           | /sites/GED/DocumentosSolicitacoes/Corporativo%20-  |                 |                 |
|                           |                 |                                |                           | %20FICORP/01.N%C3%A3o%20Publicados                 |                 |                 |
| 2025-10-02 12:10:56       | IMP_DOC_QUALIS_ | _efetuar_login                 | sharepoint_acesso.py      | Efetuando login                                    | system          | information     |
| 2025-10-02 12:10:59       | IMP_DOC_QUALIS_ | _acessar_sharepoint            | sharepoint_acesso.py      | Acessando URL: https://fibrasacombr.sharepoint.com | system          | information     |
|                           |                 |                                |                           | /sites/GED/DocumentosSolicitacoes/Corporativo%20-  |                 |                 |
|                           |                 |                                |                           | %20FICORP/01.N%C3%A3o%20Publicados                 |                 |                 |
| 2025-10-02 12:11:09       | IMP_DOC_QUALIS_ | _baixar_todas_as_pastas        | sharepoint_acesso.py      | Iniciando download na URL: https://fibrasacombr.sh | system          | information     |
|                           |                 |                                |                           | arepoint.com/sites/GED/DocumentosSolicitacoes/Form |                 |                 |
|                           |                 |                                |                           | s/AllItems.aspx?FolderCTID=0x01200078446E5FFE72434 |                 |                 |
|                           |                 |                                |                           | 99356F1ECF9D1FBE4&id=%2Fsites%2FGED%2FDocumentosSo |                 |                 |
|                           |                 |                                |                           | licitacoes%2FCorporativo%20%2D%20FICORP%2F01%2EN%C |                 |                 |
|                           |                 |                                |                           | 3%A3o%20Publicados                                 |                 |                 |
| 2025-10-02 12:12:10       | IMP_DOC_QUALIS_ | _baixar_todas_as_pastas        | sharepoint_acesso.py      | Falha no download: Timeout 30000ms exceeded while  | system          | failure         |
|                           |                 |                                |                           | waiting for event "download"                       |                 |                 |
|                           |                 |                                |                           | =========================== logs                   |                 |                 |
|                           |                 |                                |                           | =========================== waiting for event      |                 |                 |
|                           |                 |                                |                           | "download" ======================================= |                 |                 |
|                           |                 |                                |                           | ===================== - LN 216 em                  |                 |                 |
|                           |                 |                                |                           | sharepoint_acesso.py                               |                 |                 |
| 2025-10-02 12:12:11       | IMP_DOC_QUALIS_ | _finalizar_navegador           | sharepoint_acesso.py      | Recursos finalizados com sucesso                   | system          | information     |
+---------------------------+-----------------+--------------------------------+---------------------------+----------------------------------------------------+-----------------+-----------------+
