+---------------------------+-----------------+--------------------------------+---------------------------+----------------------------------------------------+-----------------+-----------------+
|         TIMESTAMP         |       TASK      |            FUNCTION            |            FILE           |                       MESSAGE                      |   PROCESS_TYPE  |      STATUS     |
+---------------------------+-----------------+--------------------------------+---------------------------+----------------------------------------------------+-----------------+-----------------+
| 2025-10-06 09:38:48       | IMP_DOC_QUALIS_ | connect                        | databasesrc.py            | dcConfig disponível: ['dbconnstr', 'dbschema',     | system          | information     |
|                           |                 |                                |                           | 'projectname', 'folderlog', 'logtablename',        |                 |                 |
|                           |                 |                                |                           | 'databasename', 'tabdocumentosged', 'url_inicial', |                 |                 |
|                           |                 |                                |                           | 'url_api_processo', 'database']                    |                 |                 |
| 2025-10-06 09:38:49       | IMP_DOC_QUALIS_ | connect                        | databasesrc.py            | :::Processo de Conexão Iniciado:::                 | system          | information     |
| 2025-10-06 09:38:50       | IMP_DOC_QUALIS_ | connect                        | databasesrc.py            | Conectado com sucesso ao PostgreSQL: PostgreSQL    | system          | success         |
|                           |                 |                                |                           | 17.6 on aarch64-unknown-linux-gnu, comp            |                 |                 |
| 2025-10-06 09:38:51       | IMP_DOC_QUALIS_ | verifica_arq_existe            | planilha_processar.py     | Não existe arquivo .xlsx na pasta                  | system          | critical        |
|                           |                 |                                |                           | data\input\Capturados - LN 279 em                  |                 |                 |
|                           |                 |                                |                           | planilha_processar.py                              |                 |                 |
+---------------------------+-----------------+--------------------------------+---------------------------+----------------------------------------------------+-----------------+-----------------+
| 2025-10-06 09:38:52       | IMP_DOC_QUALIS_ | Main                           | main.py                   | Planilha de Processamento não encontrada ou Vazia  | system          | critical        |
|                           |                 |                                |                           | - LN 22 em main.py                                 |                 |                 |
+---------------------------+-----------------+--------------------------------+---------------------------+----------------------------------------------------+-----------------+-----------------+
| 2025-10-06 09:38:52       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | === TENTATIVA 1 DE 3 ===                           | system          | information     |
| 2025-10-06 09:38:53       | IMP_DOC_QUALIS_ | _inicializar_navegador         | sharepoint_acesso.py      | Abrindo o navegador                                | system          | information     |
| 2025-10-06 09:38:58       | IMP_DOC_QUALIS_ | confere_conexao_do_banco       | tabela_documentos_ged.py  | db_manager está conectado                          | system          | information     |
| 2025-10-06 09:38:59       | IMP_DOC_QUALIS_ | _obter_links_do_banco          | tabela_documentos_ged.py  | Pesquisando pelo status: PENDENTE                  | system          | information     |
| 2025-10-06 09:39:00       | IMP_DOC_QUALIS_ | _obter_links_do_banco          | tabela_documentos_ged.py  | 154 links obtidos do banco                         | system          | information     |
| 2025-10-06 09:39:00       | IMP_DOC_QUALIS_ | _acessar_sharepoint            | sharepoint_acesso.py      | Acessando URL: https://fibrasacombr.sharepoint.com | system          | information     |
|                           |                 |                                |                           | /sites/GED/DocumentosSolicitacoes/Corporativo%20-  |                 |                 |
|                           |                 |                                |                           | %20FICORP/01.N%C3%A3o%20Publicados                 |                 |                 |
| 2025-10-06 09:39:04       | IMP_DOC_QUALIS_ | _efetuar_login                 | sharepoint_acesso.py      | Efetuando login...                                 | system          | information     |
| 2025-10-06 09:39:20       | IMP_DOC_QUALIS_ | _efetuar_login                 | sharepoint_acesso.py      | Login efetuado com sucesso!                        | system          | information     |
| 2025-10-06 09:39:51       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | Erro geral na tentativa 1: Timeout 30000ms         | system          | failure         |
|                           |                 |                                |                           | exceeded. =========================== logs         |                 |                 |
|                           |                 |                                |                           | =========================== "commit" event fired   |                 |                 |
|                           |                 |                                |                           | "domcontentloaded" event fired "load" event fired  |                 |                 |
|                           |                 |                                |                           | ================================================== |                 |                 |
|                           |                 |                                |                           | ========== - LN 245 em sharepoint_acesso.py        |                 |                 |
| 2025-10-06 09:39:52       | IMP_DOC_QUALIS_ | _finalizar_navegador           | sharepoint_acesso.py      | Recursos finalizados com sucesso                   | system          | information     |
| 2025-10-06 09:39:52       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | === TENTATIVA 2 DE 3 ===                           | system          | information     |
| 2025-10-06 09:39:53       | IMP_DOC_QUALIS_ | _inicializar_navegador         | sharepoint_acesso.py      | Abrindo o navegador                                | system          | information     |
| 2025-10-06 09:39:56       | IMP_DOC_QUALIS_ | confere_conexao_do_banco       | tabela_documentos_ged.py  | db_manager está conectado                          | system          | information     |
| 2025-10-06 09:39:56       | IMP_DOC_QUALIS_ | _obter_links_do_banco          | tabela_documentos_ged.py  | Pesquisando pelo status: PENDENTE                  | system          | information     |
| 2025-10-06 09:39:58       | IMP_DOC_QUALIS_ | _obter_links_do_banco          | tabela_documentos_ged.py  | 154 links obtidos do banco                         | system          | information     |
| 2025-10-06 09:39:58       | IMP_DOC_QUALIS_ | _acessar_sharepoint            | sharepoint_acesso.py      | Acessando URL: https://fibrasacombr.sharepoint.com | system          | information     |
|                           |                 |                                |                           | /sites/GED/DocumentosSolicitacoes/Corporativo%20-  |                 |                 |
|                           |                 |                                |                           | %20FICORP/01.N%C3%A3o%20Publicados                 |                 |                 |
| 2025-10-06 09:40:01       | IMP_DOC_QUALIS_ | _efetuar_login                 | sharepoint_acesso.py      | Efetuando login...                                 | system          | information     |
| 2025-10-06 09:40:04       | IMP_DOC_QUALIS_ | _efetuar_login                 | sharepoint_acesso.py      | Login efetuado com sucesso!                        | system          | information     |
| 2025-10-06 09:40:35       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | Erro geral na tentativa 2: Timeout 30000ms         | system          | failure         |
|                           |                 |                                |                           | exceeded. =========================== logs         |                 |                 |
|                           |                 |                                |                           | =========================== "commit" event fired   |                 |                 |
|                           |                 |                                |                           | "domcontentloaded" event fired "load" event fired  |                 |                 |
|                           |                 |                                |                           | ================================================== |                 |                 |
|                           |                 |                                |                           | ========== - LN 245 em sharepoint_acesso.py        |                 |                 |
| 2025-10-06 09:40:36       | IMP_DOC_QUALIS_ | _finalizar_navegador           | sharepoint_acesso.py      | Recursos finalizados com sucesso                   | system          | information     |
| 2025-10-06 09:40:36       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | === TENTATIVA 3 DE 3 ===                           | system          | information     |
| 2025-10-06 09:40:37       | IMP_DOC_QUALIS_ | _inicializar_navegador         | sharepoint_acesso.py      | Abrindo o navegador                                | system          | information     |
| 2025-10-06 09:40:43       | IMP_DOC_QUALIS_ | confere_conexao_do_banco       | tabela_documentos_ged.py  | db_manager está conectado                          | system          | information     |
| 2025-10-06 09:40:44       | IMP_DOC_QUALIS_ | _obter_links_do_banco          | tabela_documentos_ged.py  | Pesquisando pelo status: PENDENTE                  | system          | information     |
| 2025-10-06 09:40:45       | IMP_DOC_QUALIS_ | _obter_links_do_banco          | tabela_documentos_ged.py  | 154 links obtidos do banco                         | system          | information     |
| 2025-10-06 09:40:45       | IMP_DOC_QUALIS_ | _acessar_sharepoint            | sharepoint_acesso.py      | Acessando URL: https://fibrasacombr.sharepoint.com | system          | information     |
|                           |                 |                                |                           | /sites/GED/DocumentosSolicitacoes/Corporativo%20-  |                 |                 |
|                           |                 |                                |                           | %20FICORP/01.N%C3%A3o%20Publicados                 |                 |                 |
| 2025-10-06 09:40:49       | IMP_DOC_QUALIS_ | _efetuar_login                 | sharepoint_acesso.py      | Efetuando login...                                 | system          | information     |
| 2025-10-06 09:40:52       | IMP_DOC_QUALIS_ | _efetuar_login                 | sharepoint_acesso.py      | Login efetuado com sucesso!                        | system          | information     |
| 2025-10-06 09:41:03       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | Processando link 1/154 (tentativa 1/3)             | system          | information     |
| 2025-10-06 09:41:03       | IMP_DOC_QUALIS_ | _processar_link                | sharepoint_acesso.py      | Realizando o download do link 1/154...             | system          | information     |
| 2025-10-06 09:47:09       | IMP_DOC_QUALIS_ | _processar_link                | sharepoint_acesso.py      | Download salvo em: data\downloads\fibrasacombr-    | system          | information     |
|                           |                 |                                |                           | sharepoint-com-sites-ged-documentossolicitacoes-co |                 |                 |
|                           |                 |                                |                           | rporativo-20-20ficorp-01-n-c3-a3o-                 |                 |                 |
|                           |                 |                                |                           | 20p\OneDrive_1_06-10-2025.zip (tamanho: 309288162  |                 |                 |
|                           |                 |                                |                           | bytes)                                             |                 |                 |
| 2025-10-06 09:47:14       | IMP_DOC_QUALIS_ | extrair_zip                    | extrair_zip.py            | Arquivo data\downloads\fibrasacombr-sharepoint-    | system          | information     |
|                           |                 |                                |                           | com-sites-ged-documentossolicitacoes-corporativo-  |                 |                 |
|                           |                 |                                |                           | 20-20ficorp-01-n-c3-a3o-20p\OneDrive_1_06-10-      |                 |                 |
|                           |                 |                                |                           | 2025.zip extraído para                             |                 |                 |
|                           |                 |                                |                           | data\downloads\fibrasacombr-sharepoint-com-sites-  |                 |                 |
|                           |                 |                                |                           | ged-documentossolicitacoes-                        |                 |                 |
|                           |                 |                                |                           | corporativo-20-20ficorp-01-n-c3-a3o-20p            |                 |                 |
| 2025-10-06 09:47:15       | IMP_DOC_QUALIS_ | extrair_zips_em_pasta          | extrair_zip.py            | ZIP removido após extração:                        | system          | information     |
|                           |                 |                                |                           | data\downloads\fibrasacombr-sharepoint-com-sites-  |                 |                 |
|                           |                 |                                |                           | ged-documentossolicitacoes-corporativo-20-         |                 |                 |
|                           |                 |                                |                           | 20ficorp-01-n-c3-a3o-20p\OneDrive_1_06-10-2025.zip |                 |                 |
| 2025-10-06 09:47:15       | IMP_DOC_QUALIS_ | _processar_link                | sharepoint_acesso.py      | Extração concluída na pasta:                       | system          | information     |
|                           |                 |                                |                           | data\downloads\fibrasacombr-sharepoint-com-sites-  |                 |                 |
|                           |                 |                                |                           | ged-documentossolicitacoes-                        |                 |                 |
|                           |                 |                                |                           | corporativo-20-20ficorp-01-n-c3-a3o-20p            |                 |                 |
| 2025-10-06 09:47:16       | IMP_DOC_QUALIS_ | confere_conexao_do_banco       | tabela_documentos_ged.py  | db_manager está conectado                          | system          | information     |
| 2025-10-06 09:47:17       | IMP_DOC_QUALIS_ | atualizar_status               | tabela_documentos_ged.py  | Status atualizado para PROCESSADO: https://fibrasa | system          | information     |
|                           |                 |                                |                           | combr.sharepoint.com/sites/GED/DocumentosSolicitac |                 |                 |
|                           |                 |                                |                           | oes/Corporativo%20-                                |                 |                 |
|                           |                 |                                |                           | %20FICORP/01.N%C3%A3o%20Publicados                 |                 |                 |
| 2025-10-06 09:47:17       | IMP_DOC_QUALIS_ | _atualizar_status              | sharepoint_acesso.py      | Status do link https://fibrasacombr.sharepoint.com | system          | information     |
|                           |                 |                                |                           | /sites/GED/DocumentosSolicitacoes/Corporativo%20-  |                 |                 |
|                           |                 |                                |                           | %20FICORP/01.N%C3%A3o%20Publicados atualizado para |                 |                 |
|                           |                 |                                |                           | PROCESSADO                                         |                 |                 |
| 2025-10-06 09:47:18       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | Processando link 2/154 (tentativa 1/3)             | system          | information     |
| 2025-10-06 09:47:18       | IMP_DOC_QUALIS_ | _processar_link                | sharepoint_acesso.py      | Acessando link 2/154                               | system          | information     |
