+---------------------------+-----------------+--------------------------------+---------------------------+----------------------------------------------------+-----------------+-----------------+
|         TIMESTAMP         |       TASK      |            FUNCTION            |            FILE           |                       MESSAGE                      |   PROCESS_TYPE  |      STATUS     |
+---------------------------+-----------------+--------------------------------+---------------------------+----------------------------------------------------+-----------------+-----------------+
| 2025-10-04 09:48:28       | IMP_DOC_QUALIS_ | connect                        | databasesrc.py            | dcConfig disponível: ['dbconnstr', 'dbschema',     | system          | information     |
|                           |                 |                                |                           | 'projectname', 'folderlog', 'logtablename',        |                 |                 |
|                           |                 |                                |                           | 'databasename', 'tabdocumentosged', 'url_inicial', |                 |                 |
|                           |                 |                                |                           | 'url_api_processo', 'database']                    |                 |                 |
| 2025-10-04 09:48:28       | IMP_DOC_QUALIS_ | connect                        | databasesrc.py            | :::Processo de Conexão Iniciado:::                 | system          | information     |
| 2025-10-04 09:48:30       | IMP_DOC_QUALIS_ | connect                        | databasesrc.py            | Conectado com sucesso ao PostgreSQL: PostgreSQL    | system          | success         |
|                           |                 |                                |                           | 17.6 on aarch64-unknown-linux-gnu, comp            |                 |                 |
| 2025-10-04 09:48:30       | IMP_DOC_QUALIS_ | verifica_arq_existe            | planilha_processar.py     | Não existe arquivo .xlsx na pasta                  | system          | critical        |
|                           |                 |                                |                           | data\input\Capturados - LN 279 em                  |                 |                 |
|                           |                 |                                |                           | planilha_processar.py                              |                 |                 |
+---------------------------+-----------------+--------------------------------+---------------------------+----------------------------------------------------+-----------------+-----------------+
| 2025-10-04 09:48:31       | IMP_DOC_QUALIS_ | Main                           | main.py                   | Planilha de Processamento não encontrada ou Vazia  | system          | critical        |
|                           |                 |                                |                           | - LN 22 em main.py                                 |                 |                 |
+---------------------------+-----------------+--------------------------------+---------------------------+----------------------------------------------------+-----------------+-----------------+
| 2025-10-04 09:48:31       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | === TENTATIVA 1 DE 3 ===                           | system          | information     |
| 2025-10-04 09:48:32       | IMP_DOC_QUALIS_ | _inicializar_navegador         | sharepoint_acesso.py      | Abrindo o navegador                                | system          | information     |
| 2025-10-04 09:48:38       | IMP_DOC_QUALIS_ | confere_conexao_do_banco       | tabela_documentos_ged.py  | db_manager está conectado                          | system          | information     |
| 2025-10-04 09:48:39       | IMP_DOC_QUALIS_ | _obter_links_do_banco          | tabela_documentos_ged.py  | Pesquisando pelo status: PENDENTE                  | system          | information     |
| 2025-10-04 09:48:39       | IMP_DOC_QUALIS_ | _obter_links_do_banco          | tabela_documentos_ged.py  | 14 links obtidos do banco                          | system          | information     |
| 2025-10-04 09:48:40       | IMP_DOC_QUALIS_ | _acessar_sharepoint            | sharepoint_acesso.py      | Acessando URL: https://fibrasacombr.sharepoint.com | system          | information     |
|                           |                 |                                |                           | /sites/GED/Documentos%20Compartilhados/2.Nordeste% |                 |                 |
|                           |                 |                                |                           | 20-%20FINE/Publicados                              |                 |                 |
| 2025-10-04 09:48:41       | IMP_DOC_QUALIS_ | _efetuar_login                 | sharepoint_acesso.py      | Efetuando login...                                 | system          | information     |
| 2025-10-04 09:48:44       | IMP_DOC_QUALIS_ | _efetuar_login                 | sharepoint_acesso.py      | Login efetuado com sucesso!                        | system          | information     |
| 2025-10-04 09:48:45       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | link='https://fibrasacombr.sharepoint.com/sites/GE | system          | information     |
|                           |                 |                                |                           | D/Documentos%20Compartilhados/2.Nordeste%20-       |                 |                 |
|                           |                 |                                |                           | %20FINE/Publicados'                                |                 |                 |
| 2025-10-04 09:48:45       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | link='https://fibrasacombr.sharepoint.com/sites/GE | system          | information     |
|                           |                 |                                |                           | D/DocumentosSolicitacoes/Corporativo%20-           |                 |                 |
|                           |                 |                                |                           | %20FICORP/01.N%C3%A3o%20Publicados/EOF%20-         |                 |                 |
|                           |                 |                                |                           | %20EXCELENCIA%20OPERACIONAL%20FIBRASA'             |                 |                 |
| 2025-10-04 09:48:46       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | link='https://fibrasacombr.sharepoint.com/sites/GE | system          | information     |
|                           |                 |                                |                           | D/DocumentosSolicitacoes/Corporativo%20-           |                 |                 |
|                           |                 |                                |                           | %20FICORP/01.N%C3%A3o%20Publicados/GEPRO-          |                 |                 |
|                           |                 |                                |                           | %20GER%C3%8ANCIA%20INDUSTRIAL'                     |                 |                 |
| 2025-10-04 09:48:46       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | link='https://fibrasacombr.sharepoint.com/sites/GE | system          | information     |
|                           |                 |                                |                           | D/DocumentosSolicitacoes/Corporativo%20-           |                 |                 |
|                           |                 |                                |                           | %20FICORP/01.N%C3%A3o%20Publicados/SEDVP%20-       |                 |                 |
|                           |                 |                                |                           | %20SETOR%20DE%20DIRETORIA%20DA%20VICE%20PRESID%C3% |                 |                 |
|                           |                 |                                |                           | 8ANCIA'                                            |                 |                 |
| 2025-10-04 09:48:47       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | link='https://fibrasacombr.sharepoint.com/sites/GE | system          | information     |
|                           |                 |                                |                           | D/DocumentosSolicitacoes/Corporativo%20-           |                 |                 |
|                           |                 |                                |                           | %20FICORP/01.N%C3%A3o%20Publicados/SEPRC%20-       |                 |                 |
|                           |                 |                                |                           | %20SETOR%20PROCESSO%20DE%20PRODU%C3%87%C3%83O'     |                 |                 |
| 2025-10-04 09:48:47       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | link='https://fibrasacombr.sharepoint.com/sites/GE | system          | information     |
|                           |                 |                                |                           | D/Documentos%20Compartilhados/1.Corporativo%20-    |                 |                 |
|                           |                 |                                |                           | %20FICORP/Publicados/EOF%20-                       |                 |                 |
|                           |                 |                                |                           | %20EXCELENCIA%20OPERACIONAL%20FIBRASA'             |                 |                 |
| 2025-10-04 09:48:48       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | link='https://fibrasacombr.sharepoint.com/sites/GE | system          | information     |
|                           |                 |                                |                           | D/Documentos%20Compartilhados/1.Corporativo%20-    |                 |                 |
|                           |                 |                                |                           | %20FICORP/Publicados/GEPRO%20-                     |                 |                 |
|                           |                 |                                |                           | %20GERENCIA%20DE%20PRODUCAO'                       |                 |                 |
| 2025-10-04 09:48:48       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | link='https://fibrasacombr.sharepoint.com/sites/GE | system          | information     |
|                           |                 |                                |                           | D/Documentos%20Compartilhados/1.Corporativo%20-    |                 |                 |
|                           |                 |                                |                           | %20FICORP/Publicados/SEDVP-                        |                 |                 |
|                           |                 |                                |                           | %20SETOR%20DE%20DIRETORIA%20DA%20VICE%20PRESID%C3% |                 |                 |
|                           |                 |                                |                           | 8ANCIA'                                            |                 |                 |
| 2025-10-04 09:48:49       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | link='https://fibrasacombr.sharepoint.com/sites/GE | system          | information     |
|                           |                 |                                |                           | D/Documentos%20Compartilhados/1.Corporativo%20-    |                 |                 |
|                           |                 |                                |                           | %20FICORP/Publicados/SEPRC%20-                     |                 |                 |
|                           |                 |                                |                           | %20SETOR%20PROCESSO%20DE%20PRODU%C3%87%C3%83O'     |                 |                 |
| 2025-10-04 09:48:49       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | link='https://fibrasacombr.sharepoint.com/sites/GE | system          | information     |
|                           |                 |                                |                           | D/Documentos%20Compartilhados/2.Nordeste%20-       |                 |                 |
|                           |                 |                                |                           | %20FINE/Publicados/SEFIN%20-                       |                 |                 |
|                           |                 |                                |                           | %20SETOR%20DE%20FINANCAS'                          |                 |                 |
| 2025-10-04 09:48:50       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | link='https://fibrasacombr.sharepoint.com/sites/GE | system          | information     |
|                           |                 |                                |                           | D/DocumentosSolicitacoes/Sudeste%20-               |                 |                 |
|                           |                 |                                |                           | %20FIES/N%C3%A3o%20Publicados/SEFIS%20-            |                 |                 |
|                           |                 |                                |                           | %20SETOR%20FISCAL'                                 |                 |                 |
| 2025-10-04 09:48:50       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | link='https://fibrasacombr.sharepoint.com/sites/GE | system          | information     |
|                           |                 |                                |                           | D/DocumentosSolicitacoes/Sudeste%20-               |                 |                 |
|                           |                 |                                |                           | %20FIES/N%C3%A3o%20Publicados/SERET%20-            |                 |                 |
|                           |                 |                                |                           | %20SETOR%20DE%20RELACOES%20TRABALHISTAS'           |                 |                 |
| 2025-10-04 09:48:50       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | link='https://fibrasacombr.sharepoint.com/sites/GE | system          | information     |
|                           |                 |                                |                           | D/Documentos%20Compartilhados/3.Sudeste%20-        |                 |                 |
|                           |                 |                                |                           | %20FIES/Publicados/GEPRO%20-                       |                 |                 |
|                           |                 |                                |                           | %20GERENCIA%20DE%20PRODUCAO'                       |                 |                 |
| 2025-10-04 09:48:51       | IMP_DOC_QUALIS_ | executar_acesso_sharepoint     | sharepoint_acesso.py      | link='https://fibrasacombr.sharepoint.com/sites/GE | system          | information     |
|                           |                 |                                |                           | D/Documentos%20Compartilhados/3.Sudeste%20-        |                 |                 |
|                           |                 |                                |                           | %20FIES/Publicados/SEFIS%20-%20SETOR%20FISCAL'     |                 |                 |
| 2025-10-04 09:48:52       | IMP_DOC_QUALIS_ | _finalizar_navegador           | sharepoint_acesso.py      | Recursos finalizados com sucesso                   | system          | information     |
+---------------------------+-----------------+--------------------------------+---------------------------+----------------------------------------------------+-----------------+-----------------+
